Zone_ID,Hour_of_Day,Day_of_Week,Weather_Condition,Package_Type,Package_Weight_Kg,Is_Express,Is_Medical,Package_Volume_Demand,Traffic_Delay_Minutes
Zone_7,22,4,Rainy,Standard,23.21,0,0,43,27.0
Zone_4,22,2,Rainy,Medical,13.25,0,1,39,19.1
Zone_8,5,2,Rainy,Standard,20.74,0,0,50,26.9
Zone_5,6,6,Overcast,Express,14.78,1,0,31,18.0
Zone_7,4,2,Foggy,Medical,17.11,0,1,42,41.7
Zone_10,7,0,Foggy,Standard,13.12,0,0,39,46.3
Zone_3,13,4,Clear,Standard,21.04,0,0,54,7.2
Zone_7,17,1,Clear,Standard,0.83,0,0,66,32.2
Zone_8,20,2,Clear,Standard,16.89,0,0,52,26.0
Zone_5,19,3,Clear,Standard,13.24,0,0,35,45.2
Zone_4,23,0,Clear,Medical,14.55,0,1,28,14.8
Zone_8,2,4,Clear,Standard,10.89,0,0,45,13.1
Zone_8,21,5,Clear,Medical,10.84,0,1,33,15.8
Zone_3,7,6,Clear,Standard,19.22,0,0,19,8.9
Zone_6,13,1,Overcast,Standard,4.6,0,0,64,17.3
Zone_5,13,2,Rainy,Express,9.8,1,0,64,28.7
Zone_2,6,3,Overcast,Standard,23.91,0,0,28,17.7
Zone_8,5,0,Clear,Express,13.94,1,0,32,13.8
Zone_6,5,3,Overcast,Medical,1.24,0,1,41,7.3
Zone_2,11,3,Clear,Standard,20.41,0,0,60,24.9
Zone_5,21,0,Clear,Standard,12.35,0,0,24,11.5
Zone_1,14,3,Clear,Standard,0.67,0,0,55,8.5
Zone_10,18,2,Clear,Express,8.8,1,0,83,33.7
Zone_6,3,6,Overcast,Standard,13.49,0,0,33,13.1
Zone_9,2,0,Clear,Standard,24.66,0,0,36,12.0
Zone_1,12,4,Clear,Standard,15.5,0,0,48,7.3
Zone_10,15,0,Clear,Medical,16.22,0,1,65,19.0
Zone_3,12,5,Foggy,Standard,14.07,0,0,49,31.4
Zone_7,20,1,Clear,Express,22.19,1,0,47,44.3
Zone_4,9,5,Clear,Standard,1.05,0,0,44,19.2
Zone_9,12,5,Foggy,Standard,4.69,0,0,60,45.2
Zone_3,7,6,Rainy,Standard,18.68,0,0,23,20.6
